iteration,wallclock_hours,train_loss,val_loss,learning_rate
0,0.0000,16.2719,16.2964,0.000000e+00
400,0.0553,8.0843,6.1630,3.999975e-04
800,0.1022,5.8369,5.5930,3.999377e-04
1200,0.2031,5.4607,5.3428,3.997982e-04
1600,0.3258,5.2587,5.2244,3.995790e-04
2000,0.4489,5.1395,5.0739,3.992802e-04
2400,0.5629,5.0344,4.9903,3.989020e-04
2800,0.6766,4.9655,4.9651,3.984446e-04
3200,0.8059,4.9147,4.8954,3.979081e-04
3600,0.9292,4.8648,4.8350,3.972927e-04
4000,1.0513,4.8215,4.8027,3.965989e-04
4400,1.1755,4.7821,4.7637,3.958267e-04
4800,1.3002,4.7478,4.7224,3.949767e-04
5200,1.4206,4.7125,4.6858,3.940492e-04
5476,1.4972,4.6888,4.6783,3.933642e-04
